"month","year",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,"1998",-1,-1,-1,1,1,0,-1,0,-1,-6,-6,0,-7,-11,-6,-2,0,-2,-3,-5,-4,-5,-6,-4,-6,-2,0,-4,-10,-12,-13
2,"1998",-15,-14,-6,-7,-7,-6,-13,-11,-3,1,3,1,-17,-15,-20,-7,-12,-16,3,-1,3,5,6,3,-12,-9,2,6,,,
3,"1998",2,3,0,0,6,0,0,-3,1,0,-5,-4,1,0,0,-1,-5,-5,-1,-1,0,0,4,4,6,6,8,7,8,8,5
4,"1998",-3,-3,-4,0,0,1,3,8,3,1,5,0,0,-1,2,6,7,10,4,5,12,14,17,14,12,14,19,19,22,19,
5,"1998",18,23,18,17,18,14,17,16,18,18,21,24,6,11,18,21,22,15,21,17,10,12,15,16,16,14,,,,,
6,"1998",20,24,24,27,23,20,25,28,26,30,29,29,33,33,23,24,24,29,30,24,18,18,13,12,14,12,16,22,21,,
7,"1998",17,21,17,13,17,20,20,19,21,27,21,17,13,19,24,20,25,24,19,19,24,25,25,28,27,23,20,24,25,28,28
8,"1998",29,28,24,24,23,22,19,17,17,17,14,10,10,15,12,19,19,19,20,16,18,23,16,18,15,16,13,13,15,17,11
9,"1998",7,11,12,9,13,13,16,16,19,20,22,22,23,21,21,12,13,19,19,13,12,11,11,10,7,8,11,11,7,3,
10,"1998",2,4,6,9,7,4,5,8,3,8,12,11,9,10,9,6,6,14,9,7,3,6,7,12,10,8,9,7,7,6,5
11,"1998",5,4,2,1,1,1,1,-2,-4,-11,-10,-12,-9,-6,-9,-10,-12,-10,-12,-14,-14,-11,-3,-6,-6,-7,-3,-7,-14,-16,
12,"1998",-14,-9,-4,-5,-6,-2,-2,-4,-8,-8,-2,-10,-15,-15,-13,0,1,1,2,1,1,-10,-11,-14,-5,-1,2,2,3,1,-2
1,"1999",-4,-6,-4,-4,0,0,1,-11,-11,-7,-11,-14,-9,-2,0,0,-1,0,-2,-2,0,3,1,1,-2,1,-8,-1,0,-9,-14
2,"1999",-8,-18,-21,-3,-5,-4,-4,-3,-1,-1,0,0,-2,-3,-3,-2,1,0,0,-1,-3,,,,,,,,,,
3,"1999",-2,0,2,1,1,2,0,-7,-5,-2,-4,-2,0,-1,-2,1,4,4,0,4,3,-2,2,6,3,8,11,13,14,14,15
4,"1999",15,14,3,-1,0,1,5,7,8,9,9,12,7,9,14,18,20,20,20,19,17,16,17,19,20,20,22,23,23,9,
5,"1999",7,6,1,3,5,7,9,3,5,11,3,2,8,9,10,12,14,12,10,10,11,19,22,21,22,24,22,19,18,25,10
6,"1999",11,17,21,24,25,25,28,28,29,29,30,27,22,22,28,29,25,24,21,24,25,27,29,30,31,30,26,28,28,28,
7,"1999",30,30,30,26,25,28,32,25,22,21,21,28,28,30,31,30,29,19,23,22,21,22,28,22,27,27,26,16,20,23,17
8,"1999",21,21,22,23,22,21,25,20,13,14,19,20,23,23,20,16,18,20,21,22,22,18,18,18,18,20,21,21,17,15,14
9,"1999",14,16,19,23,22,23,25,23,24,18,10,7,7,8,10,8,11,13,14,10,13,16,17,15,17,16,12,14,17,16,
10,"1999",20,16,18,21,22,23,19,17,11,13,9,10,8,7,7,8,3,0,0,0,2,4,6,3,4,4,11,9,5,4,7
11,"1999",3,9,8,6,0,-2,-4,-6,-3,-2,-3,0,-2,2,-1,-8,-3,-2,-10,-7,-9,-4,-4,-12,-13,-10,-11,-9,0,3,
